Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
4/6/2012,21091.1,20472.2,20012.21,19870.11,20387.33,21276.4,23802.4,25268.51,25868.44,26313.74,26144.97,26128.63,25791.33,25595.63,25159.54,24796.57,24278.08,24240.54,24178.33,25349.78,25784.58,25427.69,24116.31,22136.91
4/7/2012,21269.84,20404.12,19750.03,19593.34,19489.33,19589.56,20687.64,21687.1,22650.95,23460.65,23719.26,23828.3,23750.53,23440.87,23116.47,22709.83,22444.97,22796.93,23199.41,24816.44,26026.14,25467.69,23846.76,21883.81
4/8/2012,19846.25,19169.94,18764.86,18563.89,18523.49,18040.07,19146.05,19948.5,20775.73,21446.85,21775.64,22069.22,22129.04,22036.23,21917.89,21893.26,21736.06,22180.08,22658.38,24150.39,25328.41,24546.41,22849.58,20876.55
4/9/2012,19953.01,18955.51,18683,18697.8,19041.08,20450.48,22699.82,25102.67,25573.75,26528.53,26623.34,27126.26,26887.08,26824.89,26305.07,26187.97,25888.97,25566.14,25641.85,27200.01,27731.01,26319.11,24034.86,21645.04
4/10/2012,20949.16,19931.33,19425.81,19364.04,19929.3,21006.6,23728.05,25604.94,26223.83,26771.3,27077.81,26978.92,27007.37,26915.57,26722.03,26628.73,26120.68,26159.19,25898.72,26816.81,27462.54,26460.81,24653.9,22203.61
4/11/2012,20903.3,20126.85,19592.29,19554.83,19859.28,20832.93,23110.29,24955.57,25775.42,26327.7,26512.08,26533.25,26392.88,26134.83,25449.14,25264.63,25226.35,25383.32,25434.9,26959.02,27576.46,26309.18,24534.2,22215.1
4/12/2012,20927.89,20223.78,19716.41,19676.43,19984.05,20990.46,23245.59,24937.66,25603.09,26581.07,26354.82,26169.92,25967.29,25506.01,25258.39,24900.31,25063.59,25277.8,25435.06,26826.81,27461.68,26212.23,24433.01,22161.95
4/13/2012,20850.91,20092.84,19556.96,19518.61,19857.07,20842.46,22981.79,24599.28,25681.62,26323.12,26385.88,25887.13,25814.2,25989.5,25498.07,24833.04,24554.19,24565.63,24753.66,25785.04,26724.66,26256.1,24459.08,22305.09
4/14/2012,20898.94,20127.54,19540.49,19422.27,19309.51,19530.5,20166.15,21065.57,22023.56,22783,23056.65,23026.31,22864.8,22529.67,21988.42,21905.71,21916,22254.14,22679.54,24397.67,25212.26,24390.57,23198.67,21392.47
4/15/2012,20536.27,19837.71,19286.18,19014.3,18954.74,18970.3,19105.08,20144.74,21000.15,21576.59,21782.43,22017.17,21965.55,21875.09,21824.87,21990.53,22116.96,22401.43,22819.93,24405.97,25242.34,25032.32,23580.32,21695.2
4/16/2012,20075.22,19334.58,19009.89,18980.03,19502.94,20954.14,22820.62,24919.98,25655.35,26344.64,26307.03,26876.2,26143.21,26091.28,25640.3,25619.64,25417.2,25295.21,25417.15,27389.95,27457.82,26461.49,24249.01,22261.13
4/17/2012,20972.02,19777.56,19456.35,19394.42,19495.29,20493.47,22881.92,25143.02,25546.38,26247.21,26123.22,26453.57,26524.07,26765.69,26421.59,26384.04,26137.57,25793.49,25669.28,27427.67,27702.89,26712.46,24644.65,22645.36
